minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,number_of_deaths
0.7539,0.4288,0.0271,0.9548,0.4113,0.1175,0.1238,0.1251,0.7364,313.0
0.9742,0.1337,0.0926,0.9819,0.0509,0.9834,0.575,0.5798,0.8711,258.0
0.1964,0.4562,0.2178,0.9004,0.4352,0.6425,0.3734,0.5186,0.7421,515.0
0.8109,0.7911,0.9032,0.1869,0.8873,0.4537,0.6412,0.7857,0.4005,3203.0
0.9949,0.8325,0.6125,0.113,0.9994,0.9984,0.716,0.9179,0.9628,249.0
0.9869,0.645,0.4148,0.0723,0.9981,0.9968,0.8233,0.8816,0.8481,65.0
0.6867,0.5686,0.8233,0.192,0.9436,0.4187,0.7714,0.8255,0.3486,942.0
0.745,0.6387,0.8867,0.3719,0.9067,0.6297,0.5629,0.8949,0.2779,347.0
0.5524,0.384,0.5677,0.2346,0.8771,0.5801,0.6931,0.7287,0.3645,848.0
0.7599,0.6431,0.9379,0.1391,0.8978,0.9312,0.5371,0.9188,0.5065,169.0
0.88,0.9169,0.8933,0.2652,0.979,0.4537,0.5829,0.8341,0.5103,107.0
0.999,0.6418,0.0834,0.0462,1.0,1.0,0.4763,0.5374,0.8988,129.0
0.5667,0.4521,0.3989,0.1391,0.9398,0.1076,0.4893,0.2767,0.2537,1133.0
0.9885,0.6571,0.5285,0.0331,0.9987,0.9981,0.7424,0.879,0.9214,153.0
0.9637,0.5606,0.8771,0.0331,0.999,0.9971,0.9962,0.9927,0.7281,115.0
0.9943,0.5584,0.7596,0.057,0.9997,0.9994,0.6864,0.9363,0.9373,117.0
0.9086,0.0522,0.447,0.6272,0.9516,0.9411,0.4008,0.8978,0.7116,113.0
0.7896,0.7781,0.7443,0.4578,0.8259,0.9869,0.7119,0.9733,0.4607,92.0
0.6374,0.8322,0.3365,0.2824,0.9764,0.6807,0.844,0.8125,0.6068,82.0
0.6995,0.773,0.8265,0.4642,0.8895,0.6297,0.6832,0.9325,0.4699,109.0
0.9822,0.1621,0.0869,0.0745,0.9971,0.9978,0.6313,0.6396,0.8695,114.0
0.9854,0.9147,0.1331,0.8383,0.9965,0.9163,0.5014,0.9032,0.9885,1296.0
0.845,0.9131,0.8096,0.8348,0.7644,0.4734,0.9128,0.9831,0.9303,1785.0
0.858,0.7876,0.837,0.61,0.9707,0.4537,0.9109,0.9819,0.7638,1508.0
0.7775,0.737,0.2353,0.8348,0.8714,0.6705,0.4836,0.7969,0.9115,1154.0
0.8771,0.8373,0.4973,0.9074,0.9685,0.4877,0.9491,0.9854,0.9653,465.0
0.8943,0.8036,0.2222,0.9242,0.9433,0.0974,0.1363,0.3894,0.6288,103.0
0.8185,0.9249,0.2095,0.9955,0.9462,0.7835,0.2636,0.8437,0.9169,505.0
0.8392,0.922,0.9462,0.2302,0.9029,0.6154,0.2557,0.7275,0.6469,43437.0
0.5957,0.7736,0.6402,0.9074,0.865,0.4537,0.6998,0.9513,0.9102,4801.0
0.923,0.8937,0.2541,0.8395,0.9828,0.8609,0.5845,0.9414,0.9946,1820.0
0.8644,0.8921,0.9395,0.4779,0.8762,0.8322,0.6472,0.979,0.8717,12658.0
0.8281,0.8701,0.3919,0.7695,0.858,0.263,0.8462,0.8176,0.8593,4896.0
