minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,number_of_deaths
0.2563,0.1493,0.7224,0.3403,0.212,0.7182,0.8653,0.6775,0.4225,594.0
0.3945,0.7077,0.5661,0.5667,0.581,0.5193,0.517,0.617,0.4139,926.0
0.1847,0.8364,0.1614,0.3212,0.9195,0.9936,0.1248,0.4938,0.4222,377.0
0.8583,0.7905,0.8481,0.0509,0.6387,0.8195,0.2222,0.5253,0.7278,7175.0
0.5715,0.5498,0.7803,0.2114,0.5645,0.7972,0.9023,0.8637,0.6813,1841.0
0.0831,0.2697,0.4986,0.4935,0.4152,0.263,0.3668,0.2607,0.2929,736.0
0.4747,0.4578,0.6269,0.2499,0.2642,0.766,0.8115,0.5985,0.639,2159.0
0.8335,0.8628,0.9443,0.063,0.5743,0.8848,0.4648,0.7205,0.8032,13592.0
0.4085,0.7533,0.5578,0.3403,0.8943,0.6587,0.4142,0.6816,0.5759,553.0
0.0258,0.0,0.1108,0.7058,0.2674,0.5033,0.2018,0.1722,0.1796,152.0
0.3747,0.1818,0.3887,0.4734,0.4693,0.2496,0.852,0.4438,0.5056,542.0
0.5011,0.625,0.9624,0.2499,0.2334,0.7182,0.9328,0.7985,0.3531,1265.0
0.2779,0.6934,0.6033,0.3085,0.1875,0.3298,0.7052,0.2993,0.3553,570.0
0.0608,0.1958,0.4311,0.3085,0.4801,0.263,0.2429,0.1538,0.1566,1032.0
0.298,0.6469,0.3384,0.1025,0.2814,0.0786,0.3607,0.0296,0.2365,262.0
0.4177,0.7752,0.5817,0.4279,0.78,0.3986,0.4132,0.5345,0.5626,619.0
0.042,0.0,0.625,0.4429,0.1468,0.2038,0.1226,0.0946,0.0576,85.0
0.1009,0.1057,0.5454,0.7864,0.6765,0.6705,0.3327,0.7552,0.6043,323.0
0.0541,0.3649,0.228,0.8418,0.7845,0.1175,0.1146,0.2795,0.3372,360.0
0.1566,0.2544,0.1398,0.5963,0.6294,0.5033,0.9191,0.6399,0.3989,245.0
0.1834,0.0799,0.6422,0.5466,0.079,0.313,0.9188,0.4826,0.2913,271.0
0.0353,0.0,0.1805,0.5833,0.0293,0.1175,0.4986,0.0669,0.107,205.0
0.504,0.4559,0.7485,0.2257,0.4772,0.1754,0.56,0.3228,0.1837,2137.0
0.0678,0.1277,0.391,0.3295,0.2846,0.1754,0.1815,0.0618,0.0201,335.0
0.1652,0.1216,0.1273,0.6164,0.391,0.1261,0.3069,0.1009,0.2502,217.0
0.2974,0.3773,0.4136,0.4368,0.5584,0.2038,0.9704,0.5279,0.3082,461.0
0.2149,0.51,0.4333,0.2964,0.0525,0.4358,0.3655,0.1067,0.4358,428.0
0.0971,0.1394,0.7711,0.2824,0.7278,0.2939,0.4285,0.4858,0.2811,434.0
0.0656,0.0815,0.532,0.134,0.0287,0.5801,0.2458,0.0911,0.2856,258.0
0.6539,0.7039,0.8968,0.0672,0.3429,0.788,0.7883,0.6931,0.6415,3633.0
0.0662,0.3142,0.5275,0.6944,0.0185,0.1907,0.3827,0.178,0.2652,538.0
0.2655,0.5587,0.6399,0.1605,0.5091,0.5339,0.3954,0.3483,0.3607,667.0
0.1321,0.3394,0.3566,0.5387,0.348,0.1907,0.3324,0.1649,0.1175,274.0
0.1729,0.2942,0.2206,0.3862,0.539,0.3473,0.0245,0.0901,0.3661,407.0
0.2057,0.5473,0.6348,0.5498,0.1375,0.2939,0.7631,0.4196,0.2703,455.0
0.2837,0.1691,0.6905,0.6845,0.7908,0.5033,0.9319,0.9551,0.6778,365.0
0.064,0.2521,0.3359,0.7743,0.7861,0.3473,0.1799,0.4394,0.611,172.0
0.602,0.7609,0.9634,0.1025,0.5072,0.7049,0.9096,0.8399,0.4897,1701.0
0.1089,0.4543,0.3916,0.3824,0.1388,0.2038,0.3448,0.0774,0.1312,216.0
0.0758,0.0,0.5772,0.482,0.1401,0.2939,0.1372,0.1226,0.1286,122.0
0.503,0.4352,0.9153,0.1086,0.5103,0.7972,0.7466,0.7867,0.5196,2760.0
0.0309,0.2165,0.5215,0.3518,0.1277,0.5033,0.3295,0.1843,0.3053,281.0
0.4639,0.3961,0.8227,0.1751,0.49,0.8274,0.9134,0.8561,0.6918,1685.0
0.1738,0.3063,0.5005,0.219,0.1684,0.3626,0.8516,0.2856,0.2821,480.0
0.0449,0.2219,0.0742,0.2869,0.5791,0.0551,0.1764,0.0302,0.0637,102.0
0.2531,0.3817,0.6523,0.219,0.4699,0.0872,0.2687,0.1445,0.0831,781.0
0.0296,0.1022,0.2617,0.7864,0.4569,0.3814,0.1656,0.2665,0.3919,500.0
0.4011,0.574,0.8048,0.1964,0.4225,0.9134,0.7571,0.7962,0.7816,1295.0
0.1363,0.2904,0.673,0.2795,0.0707,0.2038,0.4982,0.1535,0.1789,369.0
0.354,0.7316,0.2184,0.5342,0.4632,0.1175,0.2483,0.1054,0.2292,359.0
0.0933,0.086,0.6453,0.2824,0.2553,0.1261,0.2897,0.1117,0.093,384.0
0.0366,0.0643,0.3149,0.1229,0.1146,0.234,0.5415,0.0541,0.0506,85.0
0.3139,0.7564,0.5887,0.5833,0.5008,0.2206,0.6087,0.4849,0.2878,169.0
0.0888,0.341,0.653,0.3824,0.4005,0.7835,0.2716,0.4782,0.3629,202.0
0.0261,0.1547,0.0688,0.0509,0.0347,0.2763,0.5772,0.0169,0.0194,90.0
0.0436,0.2534,0.4034,0.1025,0.1923,0.2939,0.2846,0.0458,0.0252,313.0
0.5333,0.6944,0.9019,0.1391,0.3559,0.6587,0.7752,0.6648,0.3801,1531.0
0.1614,0.4476,0.8252,0.1691,0.5985,0.263,0.7061,0.5148,0.1777,287.0
0.1146,0.3126,0.602,0.0745,0.0608,0.1175,0.8628,0.1509,0.0216,218.0
0.0544,0.447,0.3922,0.2076,0.107,0.5033,0.3961,0.1133,0.0551,259.0
0.7851,0.979,0.7736,0.1493,0.9608,0.3298,0.815,0.7638,0.7004,158.0
0.0293,0.0567,0.4664,0.0745,0.2486,0.1175,0.411,0.0513,0.0223,210.0
0.1608,0.1111,0.5782,0.0462,0.2735,0.2763,0.8854,0.269,0.163,145.0
0.1121,0.1429,0.7507,0.0146,0.0474,0.3298,0.5218,0.1369,0.0739,220.0
0.0981,0.3257,0.6807,0.0694,0.0255,0.7475,0.5817,0.2869,0.256,209.0
0.0885,0.219,0.3101,0.2076,0.0557,0.1404,0.4148,0.0264,0.0111,170.0
0.312,0.439,0.8169,0.0805,0.0987,0.7972,0.6562,0.4511,0.2257,597.0
0.199,0.4378,0.8071,0.0723,0.0306,0.5645,0.7342,0.3337,0.1799,160.0
0.0624,0.5556,0.6176,0.093,0.0538,0.3298,0.382,0.0799,0.1258,140.0
0.475,0.8303,0.5664,0.3719,0.6581,0.5495,0.5075,0.5629,0.4925,146.0
0.2015,0.5396,0.8061,0.0462,0.5677,0.4877,0.4925,0.4273,0.2471,175.0
0.072,0.4365,0.5263,0.3629,0.4479,0.3814,0.4791,0.3282,0.1897,210.0
0.3085,0.1952,0.8456,0.093,0.0337,0.6425,0.4795,0.284,0.2388,655.0
0.7182,0.9459,0.7412,0.2257,0.809,0.2206,0.6813,0.574,0.7103,190.0
0.4499,0.7507,0.9217,0.0888,0.4572,0.1175,0.0936,0.1404,0.0538,605.0
0.0264,0.3868,0.2174,0.2763,0.9179,0.9491,0.2614,0.546,0.4479,101.0
0.2579,0.5855,0.7109,0.3442,0.6437,0.9376,0.9233,0.9507,0.7533,105.0
0.022,0.3594,0.4343,0.1815,0.1964,0.1519,0.2999,0.0436,0.0649,169.0
0.4082,0.2592,0.7408,0.2404,0.3225,0.5985,0.439,0.3989,0.4167,545.0
0.0611,0.2152,0.8571,0.3862,0.1032,0.5801,0.3305,0.355,0.0684,186.0
0.3037,0.3734,0.8322,0.1605,0.1324,0.5193,0.788,0.4432,0.1939,922.0
0.4094,0.7727,0.5718,0.1461,0.3372,0.3986,0.9007,0.4072,0.3677,126.0
0.1897,0.3165,0.4938,0.1493,0.1238,0.3298,0.7593,0.1923,0.1993,264.0
0.2486,0.2677,0.4384,0.0509,0.4234,0.7284,0.4998,0.3031,0.2579,196.0
0.4569,0.6877,0.3244,0.063,0.2079,0.3298,0.398,0.0525,0.3235,118.0
0.1318,0.1082,0.093,0.2302,0.319,0.3298,0.5148,0.0821,0.0786,105.0
0.1273,0.3843,0.3107,0.0369,0.085,0.6425,0.3862,0.077,0.1541,129.0
0.0252,0.1054,0.2719,0.0968,0.1595,0.234,0.2241,0.0146,0.0054,127.0
0.1025,0.405,0.4358,0.1296,0.4855,0.1076,0.3789,0.0939,0.0958,112.0
0.3556,0.5731,0.7284,0.0672,0.2821,0.234,0.32,0.1235,0.1238,180.0
0.2089,0.4282,0.5587,0.1605,0.072,0.1624,0.475,0.0697,0.0503,109.0
0.2693,0.4954,0.4062,0.0968,0.2359,0.3814,0.8134,0.2213,0.1124,196.0
0.056,0.0659,0.5177,0.1869,0.1363,0.2939,0.5088,0.128,0.079,186.0
0.3938,0.631,0.61,0.2824,0.3693,0.3473,0.8883,0.4814,0.4021,235.0
0.0417,0.249,0.4524,0.1025,0.0449,0.5495,0.6189,0.1662,0.1468,99.0
0.1872,0.4505,0.6113,0.0745,0.022,0.2206,0.205,0.0271,0.1168,109.0
0.0786,0.0583,0.6071,0.0509,0.0197,0.5339,0.4623,0.1394,0.0767,91.0
0.0952,0.2515,0.5059,0.1815,0.1512,0.1519,0.546,0.0933,0.0519,175.0
0.0907,0.0847,0.4782,0.3973,0.0583,0.6934,0.2308,0.1936,0.1671,244.0
0.1773,0.2009,0.8087,0.2114,0.4747,0.2939,0.8096,0.5336,0.2038,493.0
0.5559,0.8828,0.6116,0.4518,0.3731,0.3298,0.9147,0.5769,0.3317,213.0
0.568,0.772,0.9812,0.2076,0.5158,0.6807,0.8443,0.8564,0.2474,1003.0
0.1751,0.1933,0.6027,0.2964,0.1557,0.3473,0.8736,0.3617,0.1401,211.0
0.0315,0.1866,0.3066,0.1659,0.5922,0.1754,0.3292,0.1016,0.1254,137.0
0.107,0.2506,0.5164,0.0293,0.1334,0.0786,0.5126,0.0446,0.0293,141.0
0.3333,0.1261,0.7463,0.2652,0.128,0.7389,0.5903,0.4623,0.4565,589.0
0.4206,0.5304,0.9249,0.1964,0.2225,0.4187,0.5606,0.3884,0.1474,2232.0
0.5868,0.9277,0.2155,0.5116,0.8052,0.3626,0.2194,0.2904,0.4075,142.0
0.0229,0.6351,0.7335,0.2257,0.6307,0.5985,0.3677,0.511,0.2974,130.0
0.0704,0.3085,0.5597,0.0462,0.1831,0.1076,0.3018,0.0353,0.0309,107.0
0.0627,0.4546,0.3747,0.219,0.1229,0.3473,0.2843,0.0576,0.0398,172.0
0.1952,0.4798,0.6944,0.2404,0.1051,0.6425,0.6867,0.4142,0.3384,264.0
0.1598,0.2401,0.7924,0.1869,0.1872,0.3814,0.8185,0.4126,0.1289,352.0
0.6584,0.9522,0.7724,0.1493,0.7876,0.6154,0.5868,0.7084,0.609,518.0
0.1678,0.3722,0.4858,0.2652,0.1098,0.1754,0.7749,0.177,0.1022,208.0
0.0471,0.4858,0.2789,0.0745,0.1028,0.2038,0.554,0.0385,0.0624,112.0
0.1207,0.1872,0.6969,0.1296,0.1063,0.4187,0.6017,0.2289,0.1407,145.0
0.1426,0.3212,0.5123,0.6068,0.6418,0.3626,0.4126,0.4998,0.355,123.0
0.1862,0.5549,0.4304,0.1184,0.327,0.7284,0.5154,0.2919,0.5578,164.0
0.5931,0.8294,0.7778,0.3212,0.5661,0.2038,0.2744,0.304,0.3798,509.0
0.2407,0.5298,0.7323,0.0745,0.1601,0.5801,0.6469,0.327,0.1417,155.0
0.3311,0.7418,0.3235,0.0369,0.6237,0.5033,0.4483,0.2222,0.2404,74.0
0.306,0.6049,0.7962,0.1025,0.6266,0.6934,0.8494,0.7822,0.4833,229.0
0.156,0.3025,0.7402,0.0694,0.2442,0.1404,0.7472,0.2238,0.1159,125.0
0.2385,0.6797,0.5839,0.1461,0.0363,0.3814,0.3483,0.0844,0.1324,259.0
0.2159,0.4817,0.2588,0.0408,0.1675,0.2939,0.5514,0.05,0.0965,106.0
0.5858,0.8335,0.9663,0.0745,0.7087,0.5033,0.5027,0.6195,0.3785,5004.0
0.3999,0.7014,0.8787,0.1229,0.411,0.5985,0.6106,0.5454,0.4152,1305.0
0.2897,0.4772,0.5918,0.1815,0.0267,0.3298,0.9239,0.2668,0.135,219.0
0.1073,0.4623,0.3881,0.063,0.0385,0.234,0.5301,0.0423,0.0669,144.0
0.5584,0.5794,0.9112,0.0968,0.2082,0.5645,0.4693,0.3521,0.2353,2006.0
0.1477,0.674,0.3992,0.0745,0.1404,0.3473,0.4741,0.0729,0.1108,138.0
0.4139,0.7896,0.6008,0.1391,0.781,0.0786,0.8742,0.4651,0.2289,221.0
0.4874,0.5989,0.9882,0.1566,0.4062,0.5033,0.9296,0.7469,0.2171,583.0
0.5307,0.7708,0.3375,0.1659,0.7389,0.1175,0.561,0.2187,0.3512,235.0
0.3349,0.7924,0.4132,0.2572,0.2117,0.3473,0.3922,0.12,0.2372,77.0
0.1668,0.4314,0.808,0.2652,0.0637,0.2496,0.5957,0.2391,0.2518,178.0
0.0334,0.4082,0.1337,0.4167,0.4263,0.3986,0.2926,0.1385,0.1738,109.0
0.4976,0.8762,0.7641,0.2257,0.7905,0.7284,0.5734,0.7896,0.7326,547.0
0.1582,0.1824,0.8478,0.1751,0.1952,0.0974,0.7479,0.2697,0.1111,497.0
0.3047,0.6947,0.7249,0.2763,0.2671,0.2038,0.3636,0.185,0.2251,266.0
0.05,0.4371,0.0478,0.3085,0.8535,0.7049,0.469,0.4206,0.3951,96.0
0.4043,0.3945,0.7004,0.1086,0.0201,0.4734,0.8959,0.3286,0.368,528.0
0.2652,0.4422,0.5447,0.0223,0.0669,0.2206,0.8265,0.1414,0.1646,124.0
0.1283,0.1344,0.6036,0.1025,0.0423,0.0974,0.9472,0.1735,0.0102,150.0
0.6396,0.8873,0.8593,0.1391,0.6081,0.5985,0.6539,0.6784,0.6441,1271.0
0.1509,0.3066,0.1544,0.0672,0.1656,0.3814,0.2945,0.0201,0.0895,100.0
0.4327,0.8618,0.5899,0.0462,0.2499,0.6934,0.4932,0.2754,0.4212,164.0
0.3346,0.148,0.6288,0.4578,0.3658,0.4187,0.6855,0.5113,0.4683,201.0
0.1372,0.2264,0.4346,0.5259,0.134,0.4877,0.3559,0.2229,0.3021,125.0
0.405,0.1608,0.7997,0.2346,0.2101,0.6807,0.9102,0.6654,0.4763,243.0
0.538,0.7966,0.5626,0.3295,0.4626,0.3814,0.4912,0.3419,0.5081,335.0
0.3391,0.1455,0.6262,0.3671,0.6565,0.5339,0.6597,0.6699,0.5393,235.0
0.5202,0.2098,0.5864,0.1691,0.361,0.3986,0.2604,0.1694,0.2824,175.0
0.3664,0.4374,0.7068,0.3566,0.5833,0.4358,0.7485,0.6641,0.2763,883.0
0.4476,0.0764,0.2321,0.66,0.1665,0.766,0.5158,0.3983,0.4562,66.0
0.3973,0.1143,0.2576,0.554,0.2012,0.6297,0.2178,0.1948,0.3763,391.0
0.1684,0.0513,0.5479,0.1461,0.0595,0.0621,0.4776,0.0478,0.0618,104.0
0.2362,0.2748,0.455,0.0805,0.0755,0.5801,0.7934,0.2413,0.2646,139.0
0.2238,0.1149,0.4454,0.4667,0.4257,0.4358,0.3951,0.3136,0.1414,130.0
0.5642,0.7469,0.6434,0.4368,0.4874,0.4358,0.8526,0.6769,0.6944,584.0
0.4209,0.6896,0.7886,0.2652,0.8647,0.6154,0.7943,0.8873,0.6476,559.0
0.3219,0.2245,0.5759,0.3155,0.2993,0.5645,0.4158,0.3161,0.32,234.0
0.3521,0.063,0.3225,0.5642,0.6683,0.4187,0.8905,0.6807,0.2598,101.0
0.5775,0.6205,0.9507,0.113,0.4308,0.5645,0.893,0.7281,0.2426,927.0
0.3483,0.3887,0.8106,0.1751,0.1837,0.313,0.772,0.354,0.1063,272.0
0.4518,0.4432,0.5199,0.4167,0.2798,0.6705,0.9678,0.6762,0.3005,89.0
0.9169,0.9838,0.7214,0.5934,0.9647,0.1907,0.3795,0.6737,0.774,311.0
0.9252,0.9834,0.7491,0.5466,0.9526,0.6425,0.5005,0.9048,0.9039,308.0
0.327,0.3636,0.6387,0.4368,0.3327,0.2206,0.5511,0.3206,0.262,354.0
0.8255,0.7383,0.9449,0.3629,0.8555,0.3986,0.5527,0.8087,0.6753,351.0
0.8679,0.9682,0.1264,0.887,0.8946,0.0318,0.1649,0.2872,0.4508,81.0
0.4967,0.7323,0.3028,0.5833,0.8036,0.0261,0.3212,0.2601,0.2942,58.0
0.2805,0.0802,0.0955,0.4935,0.2146,0.4358,0.2808,0.0907,0.2022,121.0
0.347,0.6756,0.5482,0.192,0.0353,0.2763,0.609,0.1356,0.284,116.0
0.5183,0.6819,0.6909,0.1184,0.0872,0.1907,0.7555,0.1882,0.2792,442.0
0.4982,0.0739,0.5438,0.3337,0.4661,0.2206,0.178,0.157,0.1757,174.0
0.2031,0.1665,0.1952,0.4518,0.3531,0.0372,0.2951,0.0557,0.1082,249.0
0.561,0.7278,0.9048,0.0258,0.2178,0.1404,0.1156,0.0662,0.0599,4306.0
0.1987,0.3502,0.4464,0.1964,0.4575,0.0621,0.4862,0.1289,0.12,245.0
0.476,0.4467,0.6243,0.2709,0.8615,0.6934,0.6122,0.7806,0.7316,376.0
0.582,0.5183,0.5441,0.0844,0.3668,0.2038,0.894,0.2833,0.2327,902.0
0.2044,0.0735,0.2391,0.689,0.914,0.4537,0.0748,0.4164,0.4072,170.0
0.6813,0.8491,0.8984,0.3973,0.5428,0.8274,0.745,0.9102,0.7514,359.0
0.2919,0.1404,0.5606,0.192,0.0318,0.0872,0.7841,0.1324,0.0608,361.0
0.2451,0.2254,0.348,0.3085,0.3276,0.1754,0.8583,0.2525,0.1764,179.0
0.1445,0.0914,0.5619,0.0968,0.1656,0.313,0.4394,0.1028,0.0799,141.0
0.5438,0.8233,0.0541,0.1964,0.7698,0.1754,0.6644,0.1945,0.4572,57.0
0.2499,0.0939,0.4801,0.1964,0.0535,0.313,0.5476,0.1086,0.0678,396.0
0.0961,0.3225,0.5514,0.1605,0.4082,0.3473,0.7736,0.3493,0.1449,64.0
0.5696,0.6246,0.6539,0.3337,0.5393,0.8472,0.6278,0.7526,0.7835,608.0
0.1012,0.0911,0.6574,0.192,0.1805,0.263,0.6874,0.2378,0.1245,116.0
0.3422,0.5234,0.4308,0.3496,0.652,0.6297,0.6406,0.5896,0.5982,240.0
0.3712,0.6893,0.8029,0.2763,0.7268,0.234,0.971,0.7549,0.4839,71.0
0.2171,0.1668,0.5785,0.4976,0.4664,0.3473,0.2477,0.3009,0.2783,240.0
0.1878,0.0,0.1926,0.3719,0.0799,0.1907,0.3499,0.0328,0.0248,96.0
0.4932,0.8099,0.3935,0.134,0.0242,0.0974,0.9742,0.1203,0.2429,126.0
0.3639,0.5788,0.4374,0.4117,0.7077,0.0872,0.333,0.2369,0.1051,218.0
0.3878,0.7221,0.7956,0.2572,0.4877,0.4187,0.767,0.6027,0.4403,138.0
0.4862,0.5969,0.7329,0.1493,0.731,0.6297,0.7787,0.7596,0.574,876.0
0.0634,0.3403,0.5002,0.1815,0.0649,0.2038,0.539,0.0828,0.0525,74.0
0.5043,0.6119,0.4301,0.1493,0.4565,0.2038,0.8612,0.2853,0.3473,141.0
0.6106,0.6377,0.9847,0.2455,0.9255,0.5339,0.9542,0.9628,0.3824,436.0
0.1585,0.3114,0.4435,0.1296,0.3177,0.2206,0.7287,0.1856,0.2451,73.0
0.2502,0.4008,0.7399,0.1461,0.0427,0.234,0.4451,0.1143,0.263,122.0
0.5626,0.7227,0.7071,0.219,0.1853,0.6587,0.6434,0.4355,0.4206,756.0
0.7087,0.7972,0.9105,0.1493,0.5654,0.5193,0.2623,0.4327,0.4916,6576.0
0.9615,0.9946,0.5934,0.6979,0.9631,0.2939,0.5224,0.7841,0.9016,177.0
0.6441,0.6845,0.9201,0.0968,0.6113,0.774,0.624,0.7622,0.5486,2632.0
0.4868,0.326,0.6205,0.4117,0.0213,0.0462,0.4524,0.0965,0.3117,77.0
0.5126,0.8418,0.0,0.2302,0.3432,0.1754,0.6422,0.0653,0.2983,68.0
0.7848,0.9465,0.5301,0.7988,0.0296,0.0239,0.3709,0.1595,0.375,67.0
0.3547,0.205,0.4696,0.3922,0.2432,0.2038,0.5199,0.1824,0.1987,340.0
0.3098,0.2248,0.4779,0.4483,0.1761,0.0704,0.7857,0.2321,0.0471,86.0
0.2528,0.4585,0.1659,0.2913,0.4849,0.0786,0.3075,0.0544,0.0955,97.0
0.2763,0.3009,0.3489,0.6208,0.4078,0.6705,0.3591,0.433,0.5868,142.0
0.9223,0.9516,0.8809,0.0844,0.8625,0.8898,0.107,0.6603,0.9226,2309.0
0.2308,0.1557,0.4247,0.7956,0.7514,0.5193,0.8672,0.8953,0.6485,320.0
0.1152,0.6081,0.2442,0.8309,0.5632,0.7587,0.1754,0.5202,0.6622,385.0
0.1913,0.0576,0.1184,0.3378,0.1697,0.1519,0.0455,0.0089,0.1016,388.0
0.2375,0.056,0.1796,0.6845,0.2833,0.4734,0.3394,0.2327,0.255,155.0
0.3384,0.3989,0.4027,0.5342,0.5772,0.6154,0.4368,0.5174,0.737,749.0
0.121,0.1576,0.4403,0.9675,0.4206,0.7972,0.1277,0.6189,0.7666,257.0
0.1741,0.2455,0.5734,0.8822,0.7265,0.9869,0.7157,0.9914,0.9561,708.0
0.3992,0.6409,0.9293,0.1493,0.1261,0.1261,0.0984,0.07,0.1178,1433.0
0.4807,0.8071,0.297,0.3496,0.277,0.7389,0.2346,0.213,0.5775,338.0
0.2388,0.0818,0.7685,0.5046,0.1764,0.8376,0.7889,0.7861,0.5664,975.0
0.4578,0.4241,0.2751,0.2964,0.0821,0.6587,0.922,0.3451,0.3843,478.0
0.0115,0.1445,0.5339,0.8848,0.4842,0.6934,0.0372,0.553,0.503,160.0
0.0267,0.1359,0.0716,0.9904,0.8545,0.978,0.6094,0.9366,0.8434,366.0
0.1687,0.5145,0.2423,0.9274,0.83,0.5339,0.3658,0.702,0.7303,387.0
0.1449,0.2292,0.3973,0.4167,0.1942,0.0551,0.0382,0.0236,0.1261,1113.0
0.1633,0.6348,0.1617,0.8567,0.7294,0.774,0.4164,0.7249,0.794,260.0
0.3295,0.0,0.5065,0.7192,0.0334,0.6154,0.248,0.2942,0.5053,230.0
0.3677,0.4683,0.8153,0.5575,0.1047,0.7049,0.9195,0.8004,0.5011,511.0
0.2757,0.2751,0.9207,0.1025,0.2289,0.8195,0.7173,0.6406,0.2531,1319.0
0.171,0.2614,0.0398,0.7791,0.5696,0.5193,0.2455,0.3085,0.3954,86.0
0.3897,0.5174,0.2706,0.7504,0.951,0.8424,0.696,0.9376,0.9316,244.0
0.0414,0.2073,0.4231,0.9564,0.5094,0.4537,0.6288,0.7393,0.6883,541.0
0.1334,0.3254,0.1009,0.9166,0.2792,0.6807,0.5941,0.5196,0.7167,318.0
0.7332,0.4139,0.7189,0.4015,0.5753,0.8195,0.9121,0.9147,0.8685,1047.0
0.3486,0.4982,0.6568,0.4167,0.5466,0.6705,0.2146,0.4871,0.5084,712.0
0.2716,0.2232,0.2251,0.9389,0.7342,0.9723,0.9045,0.9796,0.9124,520.0
0.0802,0.0,0.0786,0.9557,0.1283,0.6807,0.375,0.3378,0.6278,182.0
0.0538,0.5113,0.0,0.7268,0.6708,0.9163,0.547,0.6791,0.6205,180.0
0.1891,0.1226,0.1289,0.7558,0.2308,0.8472,0.304,0.3578,0.5454,137.0
0.3855,0.609,0.7026,0.2964,0.6902,0.6297,0.6743,0.7501,0.6234,1524.0
0.1086,0.4257,0.2592,0.9261,0.7335,0.4358,0.6972,0.7749,0.7389,222.0
0.0274,0.1,0.0755,0.9933,0.3521,0.8071,0.9656,0.8415,0.8109,137.0
0.0105,0.0,0.4218,0.8434,0.8523,0.7389,0.1305,0.7479,0.8208,360.0
0.6765,0.8179,0.9685,0.0369,0.5673,0.774,0.7708,0.8106,0.4919,3703.0
0.0745,0.6485,0.1098,0.937,0.8322,0.7587,0.0229,0.5667,0.7892,282.0
0.0201,0.1102,0.4807,0.9325,0.5107,0.9398,0.5632,0.9144,0.8306,978.0
0.5409,0.5657,0.8335,0.2302,0.2757,0.4537,0.7252,0.4916,0.4887,893.0
0.6893,0.1038,0.2741,0.3212,0.1621,0.978,0.8816,0.5435,0.8535,157.0
0.319,0.6406,0.6718,0.9551,0.8134,0.6154,0.2391,0.8768,0.7147,190.0
0.2009,0.1808,0.0,0.5575,0.6644,0.3986,0.1009,0.1519,0.4747,286.0
0.2025,0.4384,0.1716,0.8395,0.8851,0.313,0.4288,0.5556,0.6829,464.0
0.4355,0.7571,0.354,0.6272,0.5893,0.8472,0.419,0.666,0.781,641.0
0.1194,0.2276,0.4269,0.8255,0.5065,0.5033,0.2531,0.4909,0.5804,545.0
0.1815,0.4457,0.1124,0.6753,0.0599,0.6425,0.2069,0.1442,0.5116,188.0
0.0621,0.0809,0.3321,0.6243,0.56,0.2939,0.2124,0.255,0.3728,660.0
0.0834,0.4922,0.3098,0.8418,0.3174,0.0786,0.2646,0.1777,0.4553,125.0
0.624,0.5428,0.7959,0.489,0.2967,0.5645,0.6476,0.6425,0.5995,1429.0
0.1289,0.0478,0.4244,0.816,0.6578,0.9608,0.6081,0.9252,0.85,761.0
0.219,0.4514,0.3356,0.6705,0.3196,0.6154,0.5053,0.4499,0.6329,348.0
0.3053,0.4174,0.3251,0.7924,0.3859,0.9599,0.3177,0.6345,0.7685,329.0
0.4406,0.2869,0.7389,0.4279,0.4088,0.8472,0.6246,0.7736,0.6931,781.0
0.3015,0.2143,0.1726,0.6558,0.6176,0.2763,0.0513,0.1687,0.3929,282.0
0.4292,0.0,0.0487,0.6963,0.71,0.4734,0.7469,0.5727,0.6406,93.0
0.3935,0.2299,0.3652,0.5466,0.1496,0.5801,0.5505,0.3254,0.4782,891.0
0.0013,0.0,0.3069,0.8567,0.4008,0.6807,0.1067,0.4062,0.6638,316.0
0.7077,0.7485,0.9223,0.0509,0.4505,0.8946,0.5275,0.6718,0.5559,11968.0
0.3572,0.7122,0.3333,0.2302,0.5594,0.3473,0.7396,0.3343,0.5769,735.0
0.0146,0.0732,0.5874,0.9004,0.639,0.9312,0.5492,0.9557,0.8147,561.0
0.3881,0.5339,0.9,0.0968,0.4432,0.7972,0.3225,0.5145,0.3878,2431.0
0.0204,0.1238,0.3063,0.9793,0.7752,0.9341,0.7794,0.9793,0.8755,378.0
0.0777,0.1067,0.3814,0.9436,0.4473,0.9163,0.5501,0.8599,0.8806,693.0
0.3028,0.3986,0.0879,0.5963,0.5301,0.2496,0.5008,0.2334,0.5613,238.0
0.0828,0.192,0.3588,0.9032,0.6377,0.7182,0.3056,0.7151,0.7456,1129.0
0.0191,0.2744,0.2967,0.9634,0.5294,0.8071,0.0767,0.5712,0.6437,374.0
0.0513,0.0,0.2802,0.88,0.1812,0.9226,0.936,0.8446,0.7813,182.0
0.0064,0.0,0.1309,0.9936,0.5622,0.9554,0.5794,0.8542,0.7701,281.0
0.0083,0.0866,0.3754,0.9153,0.6501,0.8609,0.1786,0.745,0.8074,591.0
0.0076,0.0,0.1773,0.8774,0.3292,0.7049,0.1834,0.3601,0.5361,316.0
0.1904,0.0516,0.043,0.8465,0.7141,0.7475,0.1528,0.4865,0.7714,471.0
0.0809,0.0544,0.0939,0.8039,0.7494,0.5801,0.0675,0.3744,0.2964,213.0
0.3961,0.2958,0.2012,0.5737,0.2197,0.6425,0.2257,0.1971,0.5495,451.0
